1,"UPDATE post SET scan_count = scan_count + 1 WHERE pid = %s","1,4"
2,"SELECT u.uid, u.username, u.head_url, p.pid, p.title 	, p.content, p.publish_time, p.reply_time, p.reply_count, p.like_count 	, p.scan_count FROM post p 	JOIN user u ON p.uid = u.uid WHERE p.pid = %s","2,5"
3,"SELECT r.rid, r.content, u.uid, u.username, u.head_url FROM reply r 	JOIN user u ON r.uid = u.uid WHERE r.pid = %s","3,6"
4,"SELECT c.cid, c.content, u.uid, u.username, u.head_url FROM comment c 	JOIN user u ON c.uid = u.uid WHERE c.rid = %s","7"
5,"SELECT activate_code FROM user WHERE email = %s","8"
6,"INSERT INTO info (request_url, context_path, remote_addr) VALUES (%s, %s, %s)","9,25"
7,"SELECT COUNT(*) FROM post","10,16,26"
8,"SELECT u.uid, u.username, u.head_url, p.pid, p.title 	, p.publish_time, p.reply_time, p.reply_count, p.like_count, p.scan_count FROM post p 	JOIN user u ON p.uid = u.uid ORDER BY p.reply_time DESC LIMIT %s, 8","11,17,27"
9,"SELECT uid, username, head_url FROM user ORDER BY join_time DESC LIMIT 6","12,18,28"
10,"SELECT uid, username, head_url FROM user ORDER BY post_count DESC LIMIT 6","13,19,29"
11,"SELECT tid, name, content, image FROM topic","14,58"
12,"SELECT image_url FROM image","15"
13,"INSERT INTO comment (content, uid, rid, comment_time) VALUES (%s, %s, %s, date_format(now(), '%%Y-%%c-%%d %%H:%%i:%%s'))","20"
14,"UPDATE post SET reply_time = date_format(now(), '%%Y-%%c-%%d %%H:%%i:%%s') WHERE pid = %s","21,61"
15,"SELECT uid FROM post WHERE pid = %s","22,50,62"
16,"SELECT uid, username FROM user WHERE uid = %s","23,51,63"
17,"SELECT `mid`, `uid`, `other_id`, `other_username`, `post_id` 	, `operation`, `displayed_content`, `msg_time` FROM message WHERE uid = %s","24"
18,"UPDATE user SET scan_count = scan_count + 1 WHERE uid = %s","30,33,47"
19,"SELECT uid, username, description, position, school 	, job, head_url, follow_count, follower_count, like_count 	, post_count, scan_count FROM user WHERE uid = %s","31,34,37,48"
20,"SELECT uid, pid, title, publish_time FROM post WHERE uid = %s","32,35,38,49"
21,"SELECT uid, username, description, position, school 	, job FROM user WHERE uid = %s","36"
22,"INSERT INTO post (title, content, publish_time, reply_time, reply_count 	, like_count, scan_count, uid, tid) VALUES (%s, %s, %s, %s, %s 	, %s, %s, %s, %s)","39"
23,"UPDATE user SET post_count = post_count + 1 WHERE uid = %s","40"
24,"UPDATE user SET head_url = %s WHERE uid = %s","41"
25,"UPDATE user SET password = substring(NULL, 1, 8) WHERE activate_code = NULL","42"
26,"UPDATE user SET password = substring('1572078811870cce06b469e2f492489e821677cd88662', 1, 8) WHERE activate_code = %s","43"
27,"SELECT password FROM user WHERE uid = %s","44,45"
28,"UPDATE user SET password = %s WHERE uid = %s","46"
29,"SELECT title FROM post WHERE pid = %s","52"
30,"INSERT INTO message (uid, other_id, other_username, operation, post_id 	, displayed_content) VALUES (%s, %s, %s, %s, %s 	, %s)","53"
31,"UPDATE user SET username = %s, description = %s, position = %s, school = %s, job = %s WHERE uid = %s","54"
32,"SELECT uid FROM user WHERE email = %s 	AND password = %s","55"
33,"SELECT actived FROM user WHERE email = %s","56"
34,"SELECT head_url FROM user WHERE uid = %s","57"
35,"INSERT INTO reply (content, uid, pid, reply_time) VALUES (%s, %s, %s, date_format(now(), '%%Y-%%c-%%d %%H:%%i:%%s'))","59"
36,"UPDATE post SET reply_count = reply_count + 1 WHERE pid = %s","60"
37,"UPDATE user SET actived = %s WHERE activate_code = %s","64"
38,"SELECT COUNT(*) FROM user WHERE email = %s","65,67"
39,"INSERT INTO user (email, password, actived, activate_code, join_time 	, username, head_url) VALUES (%s, %s, %s, %s, %s 	, %s, %s)","66"
