1,"UPDATE t_user SET DEPT_ID = %s, EMAIL = %s, MOBILE = %s, SSEX = %s, DESCRIPTION = %s WHERE USER_ID = %s","1"
2,"SELECT COUNT(1) FROM t_job_log","2"
3,"SELECT LOG_ID, job_id, bean_name, method_name, params 	, status, error, times, create_time FROM t_job_log ORDER BY create_time DESC LIMIT %s, 10","3"
4,"UPDATE t_user SET PASSWORD = %s WHERE USERNAME = %s","4"
5,"INSERT INTO t_job (bean_name, method_name, params, cron_expression, status 	, remark, create_time) VALUES (%s, %s, %s, %s, %s 	, %s, %s)","5"
6,"SELECT SCHED_NAME, LOCK_NAME FROM QRTZ_LOCKS WHERE SCHED_NAME = %s 	AND LOCK_NAME = %s FOR UPDATE","6,14,100,105,112,126,133,147,157,190"
7,"SELECT JOB_NAME FROM QRTZ_JOB_DETAILS WHERE SCHED_NAME = %s 	AND JOB_NAME = %s 	AND JOB_GROUP = %s","7"
8,"INSERT INTO QRTZ_JOB_DETAILS (SCHED_NAME, JOB_NAME, JOB_GROUP, DESCRIPTION, JOB_CLASS_NAME 	, IS_DURABLE, IS_NONCONCURRENT, IS_UPDATE_DATA, REQUESTS_RECOVERY, JOB_DATA) VALUES (%s, %s, %s, %s, %s 	, %s, %s, %s, %s, %s)","8"
9,"SELECT TRIGGER_NAME FROM QRTZ_TRIGGERS WHERE SCHED_NAME = %s 	AND TRIGGER_NAME = %s 	AND TRIGGER_GROUP = %s","9,134,152"
10,"SELECT TRIGGER_GROUP FROM QRTZ_PAUSED_TRIGGER_GRPS WHERE SCHED_NAME = %s 	AND TRIGGER_GROUP = %s","10,11,135,136,153,154"
11,"INSERT INTO QRTZ_TRIGGERS (SCHED_NAME, TRIGGER_NAME, TRIGGER_GROUP, JOB_NAME, JOB_GROUP 	, DESCRIPTION, NEXT_FIRE_TIME, PREV_FIRE_TIME, TRIGGER_STATE, TRIGGER_TYPE 	, START_TIME, END_TIME, CALENDAR_NAME, MISFIRE_INSTR, JOB_DATA 	, PRIORITY) VALUES (%s, %s, %s, %s, %s 	, %s, %s, %s, %s, %s 	, %s, %s, %s, %s, %s 	, %s)","12,138,155"
12,"INSERT INTO QRTZ_CRON_TRIGGERS (SCHED_NAME, TRIGGER_NAME, TRIGGER_GROUP, CRON_EXPRESSION, TIME_ZONE_ID) VALUES (%s, %s, %s, %s, %s)","13,156"
13,"SELECT TRIGGER_NAME, TRIGGER_GROUP FROM QRTZ_TRIGGERS WHERE SCHED_NAME = %s 	AND JOB_NAME = %s 	AND JOB_GROUP = %s","15,95,113,127,158,191"
